,County,CST,DEM,GRE,LIB,REP,Asian,Biracial,Black,Indian American,Other,Undesignated,White,DorR
0,ALAMANCE,151,38825,223,686,46056,0.008235971844677671,0.007254856073016616,0.19710525842049362,0.002484293146591298,0.024842931465912977,0.11277430736826946,0.6473023816810384,R
1,ALEXANDER,24,4145,18,127,15888,0.005927824728641807,0.001762326270677294,0.03756959186125686,0.0014819561821604519,0.01001321744703008,0.0767012456442504,0.8665438378659831,R
2,ALLEGHANY,5,1486,15,35,4527,0.000655307994757536,0.0020969855832241153,0.009960681520314547,0.0010484927916120576,0.00943643512450852,0.09226736566186107,0.8845347313237222,R
3,ANSON,19,5789,14,41,5321,0.004601135345085151,0.001434120107559008,0.4073498655512399,0.0016731401254855094,0.00717060053779504,0.17693456827009263,0.40083657006274276,D
4,ASHE,27,4164,23,126,11451,0.002043944813490036,0.001021972406745018,0.005620848237097598,0.0012263668880940215,0.006438426162493613,0.07235564639754727,0.9112927950945324,R
5,AVERY,10,2191,13,56,7172,0.0014502094747019013,0.002336448598130841,0.0058814050918466,0.001530776667740896,0.006445375443119562,0.08773767321946503,0.8946181115049952,R
6,BEAUFORT,37,9633,30,137,16437,0.001231599319687995,0.0027271127793091314,0.2276112837956718,0.0011729517330361856,0.013958125623130608,0.07319218814145798,0.6801067386077063,R
7,BERTIE,8,5939,15,29,3817,0.002542626383487885,0.001944361352078971,0.5836823212683219,0.0014208794495961712,0.004113072090936285,0.060200418785521986,0.34609632067005686,D
8,BLADEN,20,7326,18,68,9676,0.0009535780850418274,0.004117723549044255,0.35017987950240564,0.01785791686532877,0.01586407177842313,0.05457067313943912,0.5564561570803173,R
9,BRUNSWICK,91,33310,119,642,55850,0.003079840961884793,0.0025056333249232213,0.07534300206192743,0.0030015399204809425,0.011597254243481438,0.10357487754587136,0.8008978519414308,R
10,BUNCOMBE,225,96515,542,1460,62412,0.006191085991584745,0.006205528649418924,0.05213318056210824,0.001848660202774916,0.020301562695577657,0.09873000895444786,0.8145899729440876,D
11,BURKE,43,13118,83,270,31019,0.015173311412522263,0.002346211809836964,0.05519591724893821,0.0015413070283600493,0.017930538429921906,0.07516440608302508,0.8326483079873955,R
